state,s_curs,a_curs,curs,stateT,dot,curPrd,Prdflat
3,0.0,-18.0,1295,-1,1605,1195,1195.0
4,0.0,-2.0,1295,0,1581,1295,1095.0
1,0.0,0.0,1295,-3,1549,995,995.0
4,1.0,1.0,1296,0,1512,1296,995.5
1,0.0,0.0,1296,-3,1468,996,996.0
4,0.0,-1.0,1296,0,1418,1296,1046.0
2,0.0,0.0,1296,-2,1363,1096,1096.0
4,-13.0,-13.0,1283,0,1305,1283,1066.5
2,-46.0,-46.0,1237,-2,1243,1037,1037.0
4,-69.0,-56.0,1168,0,1178,1168,985.0
3,-135.0,-89.0,1033,-1,1113,933,933.0
4,-105.0,-36.0,928,0,1048,928,946.5
5,-68.0,67.0,860,1,979,960,960.0
4,-25.0,80.0,835,0,918,835,733.5
1,-28.0,40.0,807,-3,857,507,507.0
4,-42.0,-17.0,765,0,799,765,719.5
6,-33.0,-5.0,732,2,744,932,932.0
4,-60.0,-18.0,672,0,694,672,718.5
3,-67.0,-34.0,605,-1,650,505,505.0
4,-39.0,21.0,566,0,611,566,370.5
1,-30.0,37.0,536,-3,578,236,236.0
4,-15.0,24.0,521,0,552,521,322.0
3,-13.0,17.0,508,-1,532,408,408.0
4,-1.0,14.0,507,0,519,507,407.5
3,0.0,13.0,507,-1,513,407,407.0
4,3.0,4.0,510,0,513,510,412.0
3,7.0,7.0,517,-1,519,417,417.0
4,18.0,15.0,535,0,531,535,534.5
5,17.0,10.0,552,1,548,652,652.0
4,16.0,-2.0,568,0,571,568,679.5
5,39.0,22.0,607,1,597,707,707.0
4,62.0,46.0,669,0,627,669,678.0
3,80.0,41.0,749,-1,661,649,649.0
4,55.0,-7.0,804,0,695,804,600.5
1,48.0,-32.0,852,-3,730,552,552.0
4,24.0,-31.0,876,0,766,876,867.5
7,7.0,-41.0,883,3,802,1183,1183.0
4,5.0,-19.0,888,0,835,888,1087.5
5,4.0,-3.0,892,1,866,992,992.0
4,4.0,-1.0,896,0,894,896,846.0
2,4.0,0.0,900,-2,919,700,700.0
4,10.0,6.0,910,0,939,910,860.0
5,10.0,6.0,920,1,954,1020,1020.0
4,10.0,0.0,930,0,964,930,1135.0
7,20.0,10.0,950,3,969,1250,1250.0
4,14.0,4.0,964,0,968,964,1009.5
2,5.0,-15.0,969,-2,961,769,769.0
4,0.0,-14.0,969,0,950,969,719.0
1,0.0,-5.0,969,-3,933,669,669.0
4,0.0,0.0,969,0,911,969,869.0
5,0.0,0.0,969,1,886,1069,1069.0
4,-21.0,-21.0,948,0,857,948,1146.0
7,-25.0,-25.0,923,3,825,1223,1223.0
4,-13.0,8.0,910,0,792,910,954.5
2,-24.0,1.0,886,-2,757,686,686.0
4,-29.0,-16.0,857,0,723,857,861.5
6,-20.0,4.0,837,2,690,1037,1037.0
4,-37.0,-8.0,800,0,659,800,845.0
